Name_of_Covered_Entity,State,Covered_Entity_Type,Individuals_Affected,Breach_Submission_Date,Breach_Date,Type_of_Breach,Location_of_Breached_Information,Status,Year,Days_to_Report
MedSecure Solutions,AL,Business Associate,3933,06/11/2024,03/22/2024,Hacking/IT Incident,Paper/Films,Under Investigation,2024,81
Atlantic Urgent Care,WA,Healthcare Provider,10068,07/26/2024,04/30/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,87
Wellspring Hospital,LA,Healthcare Provider,8290,11/16/2024,07/18/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,121
Harmony Rehabilitation Center,MI,Healthcare Provider,918,02/17/2024,01/27/2024,Hacking/IT Incident,Network Server,Archived,2024,21
Community Health Plan,NM,Healthcare Provider,500,09/13/2024,08/28/2024,Unauthorized Access/Disclosure,Email,Archived,2024,16
Riverside Dental Group,NH,Healthcare Provider,13284,12/30/2024,10/18/2024,Other,Electronic Medical Record,Archived,2024,73
Lakeside Health Plan,OR,Healthcare Provider,66831,07/07/2024,05/13/2024,Hacking/IT Incident,Paper/Films,Under Investigation,2024,55
Legacy Health System,VA,Healthcare Provider,500,06/29/2024,06/07/2024,Unauthorized Access/Disclosure,Email,Archived,2024,22
Regional Pharmacy,AR,Healthcare Provider,3159,06/30/2024,02/08/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,143
Pacific Urgent Care,NC,Healthcare Provider,3001,08/17/2024,05/17/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,92
Valley Surgical Center,MI,Healthcare Provider,500,05/06/2025,12/19/2024,Other,Network Server,Archived,2024,138
Liberty Clinical Associates,VA,Healthcare Provider,11568,04/24/2025,11/12/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,163
Sacred Heart Health Network,VA,Healthcare Provider,500,08/20/2024,08/04/2024,Unauthorized Access/Disclosure,Desktop Computer,Archived,2024,16
UnitedHealth Group,CO,Health Plan,500,04/14/2024,01/03/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,102
Memorial Eye Care,NC,Healthcare Provider,604321,10/25/2024,09/19/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,36
Anthem Blue Cross,AZ,Health Plan,15000000,08/02/2024,07/05/2024,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2024,28
NovaCare Systems,OR,Business Associate,3760,11/21/2024,07/12/2024,Unauthorized Access/Disclosure,Network Server,Under Investigation,2024,132
Liberty Healthcare Clearinghouse,OR,Healthcare Clearinghouse,666,02/21/2025,11/01/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,112
Aetna Health Plan,SC,Health Plan,5632,03/29/2025,10/19/2024,Unauthorized Access/Disclosure,Network Server,Under Investigation,2024,161
HealthFirst IT,MD,Business Associate,3738,03/03/2025,12/14/2024,Hacking/IT Incident,Network Server,Archived,2024,79
Riverside Medical Group,MO,Healthcare Provider,9994,11/20/2024,08/28/2024,Hacking/IT Incident,Desktop Computer,Under Investigation,2024,84
Central Health Network,AR,Healthcare Provider,3962,03/15/2025,10/29/2024,Hacking/IT Incident,Network Server,Archived,2024,137
Advanced Pharmacy,WV,Healthcare Provider,873,03/15/2024,02/21/2024,Hacking/IT Incident,Email,Under Investigation,2024,23
Central Physicians Group,CO,Healthcare Provider,500,09/04/2024,06/01/2024,Hacking/IT Incident,Network Server,Archived,2024,95
University Mental Health Services,PA,Healthcare Provider,16416,05/26/2024,04/25/2024,Hacking/IT Incident,Paper/Films,Under Investigation,2024,31
SecureHealth Corp,AZ,Business Associate,500,04/10/2025,12/25/2024,Theft,Email,Archived,2024,106
NovaCare Systems,DE,Business Associate,6728,03/15/2025,10/05/2024,Hacking/IT Incident,Network Server,Archived,2024,161
Legacy Family Practice,VA,Healthcare Provider,7747,11/26/2024,06/23/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,156
American Medical Group,IL,Healthcare Provider,7357,04/12/2025,10/15/2024,Hacking/IT Incident,Network Server,Archived,2024,179
Aetna Health Plan,MN,Health Plan,829,08/30/2024,06/13/2024,Hacking/IT Incident,Other Portable Electronic Device,Archived,2024,78
Memorial Surgical Center,OK,Healthcare Provider,16483,08/20/2024,07/16/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,35
St. Mary's Urgent Care,NV,Healthcare Provider,47788,11/26/2024,07/14/2024,Hacking/IT Incident,Email,Under Investigation,2024,135
Wellspring Family Practice,DC,Healthcare Provider,500,04/08/2024,02/09/2024,Unauthorized Access/Disclosure,Electronic Medical Record,Under Investigation,2024,59
National Clinical Associates,MI,Healthcare Provider,7436,03/04/2025,10/31/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,124
HealthBridge IT Services,NM,Business Associate,736,03/17/2025,11/26/2024,Unauthorized Access/Disclosure,Email,Archived,2024,111
Advanced Rehabilitation Center,MI,Healthcare Provider,55061,02/21/2024,01/08/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,44
Aetna Health Plan,OK,Health Plan,1786,09/05/2024,05/13/2024,Hacking/IT Incident,Network Server,Archived,2024,115
Premier Eye Care,MD,Healthcare Provider,571,06/24/2024,03/05/2024,Hacking/IT Incident,Email,Archived,2024,111
CloudMed Solutions,VT,Business Associate,1531,06/21/2024,03/07/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,106
Legacy Home Health,NJ,Healthcare Provider,500,12/25/2024,09/17/2024,Hacking/IT Incident,Network Server,Archived,2024,99
Atlantic Rehabilitation Center,WI,Healthcare Provider,1632,01/29/2025,09/05/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,146
Legacy Mental Health Services,AL,Healthcare Provider,801,12/23/2024,08/26/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,119
United Mental Health Services,WA,Healthcare Provider,83730,09/12/2024,04/26/2024,Hacking/IT Incident,Email,Under Investigation,2024,139
Premier Physicians Group,MN,Healthcare Provider,30656,03/04/2025,11/22/2024,Hacking/IT Incident,Other Portable Electronic Device,Archived,2024,102
United Health Plan,KS,Healthcare Provider,1560,10/31/2024,09/14/2024,Unauthorized Access/Disclosure,Network Server,Under Investigation,2024,47
Good Samaritan Healthcare,NH,Healthcare Provider,96313,01/01/2025,09/23/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,100
DataSync Health IT,SD,Business Associate,2404,05/17/2024,02/13/2024,Hacking/IT Incident,Laptop,Under Investigation,2024,94
Riverside Family Practice,LA,Healthcare Provider,10958,02/17/2025,10/23/2024,Theft,Email,Under Investigation,2024,117
MedBridge Analytics,AL,Business Associate,11808,06/27/2024,06/07/2024,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2024,20
American Mental Health Services,UT,Healthcare Provider,9729,07/30/2024,04/12/2024,Theft,Paper/Films,Archived,2024,109
Memorial Health Network,PA,Healthcare Provider,500,04/07/2025,10/19/2024,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2024,170
Providence Clinical Associates,NJ,Healthcare Provider,758,02/09/2025,11/14/2024,Loss,Network Server,Under Investigation,2024,87
Riverside Health Network,AR,Healthcare Provider,818,01/30/2025,12/30/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,31
Premier Medical Center,WV,Healthcare Provider,1987,12/04/2024,11/12/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,22
Premier Rehabilitation Center,SD,Healthcare Provider,5141,09/19/2024,03/31/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,172
CarePoint Technologies,NV,Business Associate,2076,10/27/2024,05/09/2024,Hacking/IT Incident,Paper/Films,Archived,2024,171
Trinity Dental Group,TN,Healthcare Provider,13542,07/02/2024,04/28/2024,Hacking/IT Incident,Email,Under Investigation,2024,65
American Medical Center,GA,Healthcare Provider,703,07/06/2024,05/30/2024,Hacking/IT Incident,Paper/Films,Under Investigation,2024,37
Humana Health Plan,TN,Health Plan,1019,12/31/2024,07/06/2024,Theft,Network Server,Under Investigation,2024,178
Providence Medical Center,ME,Healthcare Provider,7807,07/10/2024,04/14/2024,Loss,Electronic Medical Record,Under Investigation,2024,87
DataSync Health IT,NJ,Business Associate,21065,08/14/2024,02/21/2024,Unauthorized Access/Disclosure,Electronic Medical Record,Under Investigation,2024,175
Guardian Home Health,LA,Healthcare Provider,125663,05/24/2024,04/22/2024,Hacking/IT Incident,Network Server,Archived,2024,32
NovaCare Systems,WY,Business Associate,30558,03/08/2025,10/22/2024,Hacking/IT Incident,Desktop Computer,Archived,2024,137
University Health System,MO,Healthcare Provider,500,08/16/2024,05/02/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,106
Alliance Medical Group,TN,Healthcare Provider,500,02/21/2025,12/21/2024,Hacking/IT Incident,Network Server,Archived,2024,62
Beacon Rehabilitation Center,PA,Healthcare Provider,20307,01/04/2025,11/14/2024,Hacking/IT Incident,Network Server,Archived,2024,51
Mercy Surgical Center,LA,Healthcare Provider,501,10/22/2024,09/02/2024,Hacking/IT Incident,Other Portable Electronic Device,Archived,2024,50
Pacific Eye Care,MS,Healthcare Provider,586,07/05/2024,04/25/2024,Hacking/IT Incident,Other,Under Investigation,2024,71
Wellspring Health Network,KY,Healthcare Provider,7593,03/21/2025,12/20/2024,Hacking/IT Incident,Network Server,Archived,2024,91
Mountain Rehabilitation Center,RI,Healthcare Provider,500,04/24/2024,04/03/2024,Hacking/IT Incident,Network Server,Archived,2024,21
National Rehabilitation Center,MO,Healthcare Provider,461912,12/21/2024,10/31/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,51
Valley Eye Care,NJ,Healthcare Provider,500,03/11/2024,01/08/2024,Hacking/IT Incident,Email,Archived,2024,63
SecureHealth Corp,MS,Business Associate,10233,05/03/2025,11/17/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,167
University Medical Center,AR,Healthcare Provider,6613,10/22/2024,04/27/2024,Other,Laptop,Archived,2024,178
Riverside Healthcare Clearinghouse,GA,Healthcare Clearinghouse,13009,11/23/2024,08/17/2024,Hacking/IT Incident,Email,Archived,2024,98
Pacific Medical Group,TX,Healthcare Provider,1125,02/08/2025,12/01/2024,Hacking/IT Incident,Email,Under Investigation,2024,69
Summit Healthcare,OR,Healthcare Provider,500,04/27/2024,03/01/2024,Unauthorized Access/Disclosure,Network Server,Archived,2024,57
Alliance Rehabilitation Center,AL,Healthcare Provider,720841,12/13/2024,10/14/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,60
University Family Practice,WI,Healthcare Provider,23493,04/03/2025,10/25/2024,Hacking/IT Incident,Laptop,Under Investigation,2024,160
CarePoint Technologies,VA,Business Associate,3209,01/23/2025,08/19/2024,Improper Disposal,Other Portable Electronic Device,Archived,2024,157
Premier Surgical Center,WV,Healthcare Provider,2969,10/28/2024,06/08/2024,Hacking/IT Incident,Email,Under Investigation,2024,142
United Clinical Associates,WY,Healthcare Provider,500,12/01/2024,07/21/2024,Unauthorized Access/Disclosure,Network Server,Archived,2024,133
MedData Services,MN,Business Associate,45354,12/31/2024,11/11/2024,Hacking/IT Incident,Network Server,Archived,2024,50
National Family Practice,NY,Healthcare Provider,2280,03/30/2025,11/08/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,142
Valley Dental Group,MD,Healthcare Provider,8032,01/03/2025,09/15/2024,Hacking/IT Incident,Email,Under Investigation,2024,110
Providence Pharmacy,VA,Healthcare Provider,11175,07/11/2024,04/02/2024,Hacking/IT Incident,Email,Archived,2024,100
Valley Family Practice,CO,Healthcare Provider,129805,07/28/2024,03/09/2024,Hacking/IT Incident,Network Server,Archived,2024,141
Horizon Clinical Associates,ID,Healthcare Provider,17148,01/17/2025,12/09/2024,Hacking/IT Incident,Paper/Films,Archived,2024,39
Horizon Healthcare Clearinghouse,MA,Healthcare Clearinghouse,9403,10/17/2024,04/24/2024,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2024,176
Horizon Health Services,SC,Healthcare Provider,10617,01/22/2025,08/09/2024,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2024,166
Central Urgent Care,PA,Healthcare Provider,2634,06/13/2024,01/04/2024,Hacking/IT Incident,Paper/Films,Under Investigation,2024,161
SecureHealth Corp,OK,Business Associate,8672,05/08/2024,02/10/2024,Hacking/IT Incident,Desktop Computer,Under Investigation,2024,88
Pinnacle Mental Health Services,MD,Healthcare Provider,975737,05/02/2024,01/28/2024,Hacking/IT Incident,Network Server,Archived,2024,95
HealthFirst IT,AL,Business Associate,68063,02/23/2024,02/01/2024,Hacking/IT Incident,Paper/Films,Archived,2024,22
Summit Hospital,WI,Healthcare Provider,500,05/03/2024,03/27/2024,Hacking/IT Incident,Laptop,Archived,2024,37
Liberty Medical Group,UT,Healthcare Provider,2999,09/05/2024,06/13/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,84
Advanced Eye Care,UT,Healthcare Provider,71541,12/03/2024,11/06/2024,Hacking/IT Incident,Other,Archived,2024,27
Alliance Healthcare Clearinghouse,RI,Healthcare Clearinghouse,6879,12/24/2024,12/02/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,22
Molina Healthcare of IN,IN,Health Plan,500,04/19/2024,02/21/2024,Hacking/IT Incident,Desktop Computer,Archived,2024,58
Harmony Eye Care,NJ,Healthcare Provider,31454,02/13/2025,10/28/2024,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2024,108
Kaiser Foundation,GA,Health Plan,138513,01/15/2025,07/31/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,168
American Healthcare,NV,Healthcare Provider,500,06/08/2024,01/11/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,149
Kaiser Foundation,IN,Health Plan,783,07/06/2024,01/14/2024,Other,Electronic Medical Record,Archived,2024,174
Premier Dental Group,WA,Healthcare Provider,7876,07/05/2024,04/15/2024,Hacking/IT Incident,Email,Archived,2024,81
Beacon Home Health,KS,Healthcare Provider,6187,12/05/2024,10/30/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,36
Pinnacle Medical Group,IA,Healthcare Provider,1402,05/15/2024,03/02/2024,Hacking/IT Incident,Network Server,Archived,2024,74
DataSync Health IT,VT,Business Associate,24295,05/20/2024,01/07/2024,Hacking/IT Incident,Email,Under Investigation,2024,134
BlueCross BlueShield of HI,HI,Health Plan,1121,02/04/2025,09/18/2024,Unauthorized Access/Disclosure,Electronic Medical Record,Under Investigation,2024,139
Mercy Surgical Center,MT,Healthcare Provider,353709,08/31/2024,06/05/2024,Hacking/IT Incident,Email,Under Investigation,2024,87
Mountain Medical Center,IA,Healthcare Provider,2117,10/19/2024,07/31/2024,Unauthorized Access/Disclosure,Other,Under Investigation,2024,80
Summit Health Services,MD,Healthcare Provider,96522,07/02/2024,01/08/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,176
Good Samaritan Physicians Group,NV,Healthcare Provider,956,12/25/2024,11/16/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,39
Providence Health Plan,MA,Healthcare Provider,500,12/14/2024,06/19/2024,Theft,Email,Under Investigation,2024,178
Riverside Urgent Care,MN,Healthcare Provider,87075,02/29/2024,01/25/2024,Hacking/IT Incident,Email,Under Investigation,2024,35
NovaCare Systems,CA,Business Associate,11888,06/09/2024,02/17/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,113
Integrated Dental Group,WY,Healthcare Provider,500,06/03/2024,05/17/2024,Hacking/IT Incident,Email,Archived,2024,17
Mercy Surgical Center,VT,Healthcare Provider,765,08/28/2024,03/19/2024,Hacking/IT Incident,Desktop Computer,Archived,2024,162
Lakeside Health Network,WV,Healthcare Provider,35824,03/16/2025,10/04/2024,Hacking/IT Incident,Paper/Films,Archived,2024,163
Liberty Health Services,ID,Healthcare Provider,500,05/21/2025,12/08/2024,Hacking/IT Incident,Email,Archived,2024,164
United Health Plan,AL,Healthcare Provider,500,04/16/2024,03/05/2024,Hacking/IT Incident,Email,Archived,2024,42
Harmony Family Practice,AL,Healthcare Provider,13059,08/13/2024,05/12/2024,Hacking/IT Incident,Paper/Films,Under Investigation,2024,93
Anthem Blue Cross,KS,Health Plan,1847,05/20/2025,12/26/2024,Hacking/IT Incident,Network Server,Archived,2024,145
Valley Health Plan,ID,Healthcare Provider,10990,04/23/2024,03/20/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,34
Harmony Urgent Care,NV,Healthcare Provider,3931,12/06/2024,09/26/2024,Unauthorized Access/Disclosure,Network Server,Under Investigation,2024,71
Humana Health Plan,NJ,Health Plan,5528,09/21/2024,07/04/2024,Hacking/IT Incident,Other,Under Investigation,2024,79
Providence Eye Care,VA,Healthcare Provider,626,07/02/2024,04/05/2024,Theft,Network Server,Archived,2024,88
BlueCross BlueShield of FL,FL,Health Plan,2434,09/03/2024,06/25/2024,Unauthorized Access/Disclosure,Network Server,Archived,2024,70
Summit Healthcare,AL,Healthcare Provider,4107,10/28/2024,08/21/2024,Other,Email,Archived,2024,68
Pacific Dental Group,KS,Healthcare Provider,500,10/20/2024,07/06/2024,Loss,Network Server,Archived,2024,106
Legacy Health Network,SC,Healthcare Provider,14498,03/22/2024,02/21/2024,Hacking/IT Incident,Email,Archived,2024,30
Mercy Family Practice,SD,Healthcare Provider,3382,09/07/2024,04/02/2024,Hacking/IT Incident,Email,Archived,2024,158
Cigna Healthcare,WA,Health Plan,114506,08/24/2024,06/22/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,63
Heritage Medical Group,FL,Healthcare Provider,500,08/28/2024,03/06/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,175
Guardian Health Plan,RI,Healthcare Provider,500,07/02/2024,01/13/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,171
Harmony Medical Group,MT,Healthcare Provider,604,04/28/2025,12/02/2024,Hacking/IT Incident,Email,Under Investigation,2024,147
HealthBridge IT Services,IL,Business Associate,2137,10/20/2024,09/05/2024,Theft,Network Server,Archived,2024,45
Mountain Health Network,WI,Healthcare Provider,2376,12/07/2024,11/03/2024,Other,Desktop Computer,Under Investigation,2024,34
Pacific Medical Center,AL,Healthcare Provider,7924,08/20/2024,05/23/2024,Hacking/IT Incident,Email,Under Investigation,2024,89
Guardian Urgent Care,WY,Healthcare Provider,3312,12/10/2024,10/03/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,68
Good Samaritan Family Practice,AL,Healthcare Provider,953,07/24/2024,02/24/2024,Improper Disposal,Paper/Films,Under Investigation,2024,151
Lakeside Surgical Center,LA,Healthcare Provider,2949,01/22/2025,12/06/2024,Unauthorized Access/Disclosure,Network Server,Archived,2024,47
Cigna Healthcare,IA,Health Plan,3086,10/13/2024,05/02/2024,Hacking/IT Incident,Desktop Computer,Under Investigation,2024,164
Legacy Health System,AL,Healthcare Provider,1229,05/23/2025,12/20/2024,Unauthorized Access/Disclosure,Network Server,Under Investigation,2024,154
Central Health Services,GA,Healthcare Provider,500,10/18/2024,08/30/2024,Hacking/IT Incident,Email,Under Investigation,2024,49
Guardian Family Practice,LA,Healthcare Provider,10106,09/03/2024,08/13/2024,Hacking/IT Incident,Other Portable Electronic Device,Under Investigation,2024,21
Horizon Clinical Associates,KY,Healthcare Provider,500,12/15/2024,10/21/2024,Hacking/IT Incident,Network Server,Archived,2024,55
SecureHealth Corp,FL,Business Associate,24045,10/21/2024,07/08/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,105
American Healthcare Clearinghouse,IN,Healthcare Clearinghouse,12872,10/07/2024,08/13/2024,Hacking/IT Incident,Desktop Computer,Archived,2024,55
Trinity Eye Care,NV,Healthcare Provider,669,05/10/2025,12/23/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,138
BlueCross BlueShield of NJ,NJ,Health Plan,1540,06/12/2024,03/14/2024,Hacking/IT Incident,Paper/Films,Under Investigation,2024,90
Alliance Medical Center,IL,Healthcare Provider,597183,10/03/2024,07/11/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,84
Premier Mental Health Services,GA,Healthcare Provider,13223,03/18/2024,02/05/2024,Unauthorized Access/Disclosure,Network Server,Under Investigation,2024,42
Kaiser Foundation,NH,Health Plan,500,03/27/2024,02/17/2024,Hacking/IT Incident,Network Server,Archived,2024,39
National Home Health,DC,Healthcare Provider,6120,10/14/2024,04/19/2024,Hacking/IT Incident,Email,Archived,2024,178
NovaCare Systems,AR,Business Associate,500,01/13/2025,09/26/2024,Loss,Network Server,Archived,2024,109
Beacon Clinical Associates,NE,Healthcare Provider,251399,12/28/2024,07/10/2024,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2024,171
Beacon Surgical Center,NJ,Healthcare Provider,5444,08/12/2024,06/04/2024,Hacking/IT Incident,Network Server,Archived,2024,69
HealthBridge IT Services,IA,Business Associate,500,03/22/2025,09/24/2024,Hacking/IT Incident,Network Server,Archived,2024,179
Liberty Home Health,KY,Healthcare Provider,8282,10/14/2024,09/28/2024,Hacking/IT Incident,Other Portable Electronic Device,Under Investigation,2024,16
Sacred Heart Dental Group,NJ,Healthcare Provider,17612,01/14/2025,11/04/2024,Hacking/IT Incident,Email,Under Investigation,2024,71
Valley Hospital,CT,Healthcare Provider,5199,12/04/2024,08/25/2024,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2024,101
University Pharmacy,CO,Healthcare Provider,500,05/07/2025,11/09/2024,Unauthorized Access/Disclosure,Network Server,Under Investigation,2024,179
Regional Health System,NH,Healthcare Provider,11017,08/14/2024,07/11/2024,Hacking/IT Incident,Paper/Films,Archived,2024,34
Pinnacle Home Health,NV,Healthcare Provider,2775,03/06/2024,02/06/2024,Loss,Network Server,Archived,2024,29
DataSync Health IT,UT,Business Associate,987,02/23/2024,01/21/2024,Unauthorized Access/Disclosure,Laptop,Under Investigation,2024,33
National Pharmacy,UT,Healthcare Provider,1534,12/18/2024,09/27/2024,Hacking/IT Incident,Paper/Films,Under Investigation,2024,82
Kaiser Foundation,CT,Health Plan,3602,01/09/2025,08/01/2024,Hacking/IT Incident,Email,Under Investigation,2024,161
Liberty Urgent Care,ME,Healthcare Provider,9763,05/05/2024,01/09/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,117
Alliance Mental Health Services,DE,Healthcare Provider,5643,06/25/2024,03/08/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,109
Regional Healthcare,FL,Healthcare Provider,500,09/14/2024,08/20/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,25
Community Surgical Center,AZ,Healthcare Provider,5823,04/20/2025,12/25/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,116
WellCare Health Plans,ND,Health Plan,61803,12/20/2024,10/16/2024,Hacking/IT Incident,Paper/Films,Archived,2024,65
Humana Health Plan,GA,Health Plan,1348,02/28/2024,02/03/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,25
Lakeside Health Network,IN,Healthcare Provider,654,08/16/2024,07/04/2024,Theft,Email,Under Investigation,2024,43
CloudMed Solutions,NV,Business Associate,500,03/27/2024,02/25/2024,Unauthorized Access/Disclosure,Network Server,Archived,2024,31
Good Samaritan Medical Group,NJ,Healthcare Provider,4104,09/16/2024,06/10/2024,Theft,Network Server,Under Investigation,2024,98
Horizon Eye Care,FL,Healthcare Provider,4386,09/05/2024,06/15/2024,Loss,Email,Archived,2024,82
Advanced Medical Group,TN,Healthcare Provider,9162,01/18/2025,11/29/2024,Hacking/IT Incident,Electronic Medical Record,Archived,2024,50
MedBridge Analytics,WA,Business Associate,835,10/27/2024,09/11/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,46
United Eye Care,MS,Healthcare Provider,22226,03/23/2024,01/08/2024,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2024,75
BlueCross BlueShield of NM,NM,Health Plan,166881,08/24/2024,04/01/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,145
MedData Services,OR,Business Associate,753,06/28/2024,01/17/2024,Unauthorized Access/Disclosure,Paper/Films,Under Investigation,2024,163
HealthFirst IT,SD,Business Associate,500,01/13/2025,11/19/2024,Unauthorized Access/Disclosure,Other Portable Electronic Device,Under Investigation,2024,55
Harmony Healthcare,SD,Healthcare Provider,500,12/17/2024,11/22/2024,Other,Network Server,Archived,2024,25
HealthVault Systems,ND,Business Associate,500,04/14/2025,11/22/2024,Theft,Network Server,Under Investigation,2024,143
Atlantic Clinical Associates,SC,Healthcare Provider,10638,06/13/2025,12/18/2024,Hacking/IT Incident,Email,Under Investigation,2024,177
UnitedHealth Group,MI,Health Plan,829,02/03/2025,09/23/2024,Unauthorized Access/Disclosure,Paper/Films,Archived,2024,133
HealthFirst IT,WY,Business Associate,3449,07/26/2024,03/06/2024,Hacking/IT Incident,Network Server,Archived,2024,142
Regional Hospital,ND,Healthcare Provider,1613,12/27/2024,11/27/2024,Hacking/IT Incident,Network Server,Archived,2024,30
Pacific Physicians Group,WA,Healthcare Provider,21780,01/13/2025,10/15/2024,Hacking/IT Incident,Network Server,Under Investigation,2024,90
Summit Health Services,AR,Healthcare Provider,551825,08/03/2024,04/21/2024,Hacking/IT Incident,Email,Archived,2024,104
NovaCare Systems,MI,Business Associate,500,11/20/2024,06/04/2024,Hacking/IT Incident,Paper/Films,Under Investigation,2024,169
Anthem Blue Cross,UT,Health Plan,323239,06/27/2025,04/14/2025,Hacking/IT Incident,Email,Archived,2025,74
DataSync Health IT,IL,Business Associate,2403,02/14/2025,01/05/2025,Theft,Network Server,Archived,2025,40
Good Samaritan Medical Group,TN,Healthcare Provider,17120,05/28/2025,03/20/2025,Hacking/IT Incident,Network Server,Archived,2025,69
Integrated Physicians Group,PA,Healthcare Provider,1575,07/16/2025,06/22/2025,Unauthorized Access/Disclosure,Network Server,Archived,2025,24
University Medical Center,AL,Healthcare Provider,149847,12/27/2025,11/07/2025,Hacking/IT Incident,Email,Archived,2025,50
Harmony Health Plan,UT,Healthcare Provider,2414,05/12/2025,04/24/2025,Hacking/IT Incident,Network Server,Archived,2025,18
Atlantic Pharmacy,NH,Healthcare Provider,30457,07/23/2025,03/16/2025,Hacking/IT Incident,Email,Under Investigation,2025,129
Mercy Health System,WI,Healthcare Provider,500,06/19/2026,12/22/2025,Hacking/IT Incident,Email,Archived,2025,179
American Family Practice,VA,Healthcare Provider,104863,05/06/2025,02/10/2025,Hacking/IT Incident,Network Server,Archived,2025,85
Legacy Physicians Group,WA,Healthcare Provider,1070,08/27/2025,07/15/2025,Unauthorized Access/Disclosure,Electronic Medical Record,Under Investigation,2025,43
Humana Health Plan,CO,Health Plan,500,05/22/2026,12/20/2025,Unauthorized Access/Disclosure,Network Server,Under Investigation,2025,153
Lakeside Home Health,MN,Healthcare Provider,11976,03/26/2026,10/13/2025,Loss,Email,Archived,2025,164
HealthFirst IT,NM,Business Associate,23082,03/19/2026,11/07/2025,Hacking/IT Incident,Network Server,Archived,2025,132
Memorial Healthcare,TX,Healthcare Provider,3336,04/10/2025,01/14/2025,Hacking/IT Incident,Email,Archived,2025,86
Advanced Physicians Group,MO,Healthcare Provider,500,01/13/2026,08/17/2025,Hacking/IT Incident,Desktop Computer,Archived,2025,149
HealthFirst IT,OK,Business Associate,1255,09/01/2025,07/16/2025,Hacking/IT Incident,Paper/Films,Under Investigation,2025,47
UnitedHealth Group,NH,Health Plan,208118,01/28/2025,01/05/2025,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2025,23
Guardian Urgent Care,AZ,Healthcare Provider,866,03/13/2026,11/24/2025,Hacking/IT Incident,Network Server,Archived,2025,109
Community Healthcare,NV,Healthcare Provider,1802,12/02/2025,07/05/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,150
Sacred Heart Health Network,MI,Healthcare Provider,500,12/10/2025,07/06/2025,Hacking/IT Incident,Network Server,Archived,2025,157
Beacon Health System,NM,Healthcare Provider,723,08/19/2025,06/09/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,71
